Id,SalePrice
1461,127500.0
1462,155000.0
1463,192000.0
1464,178000.0
1465,212000.0
1466,177000.0
1467,141000.0
1468,177000.0
1469,184900.0
1470,145000.0
1471,185000.0
1472,83000.0
1473,75000.0
1474,148500.0
1475,139400.0
1476,611657.0
1477,235128.0
1478,320000.0
1479,228000.0
1480,412500.0
1481,285000.0
1482,202500.0
1483,186000.0
1484,196000.0
1485,180000.0
1486,225000.0
1487,538000.0
1488,252000.0
1489,250580.0
1490,218000.0
1491,174000.0
1492,110000.0
1493,130500.0
1494,325300.0
1495,315000.0
1496,302000.0
1497,202665.0
1498,151000.0
1499,147400.0
1500,81000.0
1501,177000.0
1502,173000.0
1503,392500.0
1504,213500.0
1505,215000.0
1506,180500.0
1507,151400.0
1508,186700.0
1509,154000.0
1510,157000.0
1511,177000.0
1512,165500.0
1513,185750.0
1514,139000.0
1515,189000.0
1516,136500.0
1517,164900.0
1518,136905.0
1519,235000.0
1520,148000.0
1521,164500.0
1522,167900.0
1523,105000.0
1524,135000.0
1525,104900.0
1526,120000.0
1527,109900.0
1528,129900.0
1529,157000.0
1530,167000.0
1531,113000.0
1532,132000.0
1533,171500.0
1534,117000.0
1535,127000.0
1536,115000.0
1537,58500.0
1538,161000.0
1539,122000.0
1540,118000.0
1541,207000.0
1542,127000.0
1543,200000.0
1544,90350.0
1545,80000.0
1546,115000.0
1547,145000.0
1548,140000.0
1549,82000.0
1550,117000.0
1551,110500.0
1552,132000.0
1553,125000.0
1554,143500.0
1555,165000.0
1556,78000.0
1557,145000.0
1558,90350.0
1559,117500.0
1560,160000.0
1561,157900.0
1562,129000.0
1563,144000.0
1564,162000.0
1565,172000.0
1566,175900.0
1567,78000.0
1568,215000.0
1569,133000.0
1570,147000.0
1571,145000.0
1572,138500.0
1573,260000.0
1574,85000.0
1575,187500.0
1576,215000.0
1577,215200.0
1578,207000.0
1579,143750.0
1580,184000.0
1581,158000.0
1582,127500.0
1583,350000.0
1584,236000.0
1585,136500.0
1586,58500.0
1587,84900.0
1588,138500.0
1589,80000.0
1590,153337.0
1591,100000.0
1592,108480.0
1593,110000.0
1594,100000.0
1595,104900.0
1596,236000.0
1597,188000.0
1598,208500.0
1599,220000.0
